Subject,Exercise,View,best_shift,best_shift_unique_value,best_shift_median
1,Front lunge,Frontal,"[49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 49.0, 51.0, 49.0, 48.0, 48.0, 48.0, 49.0, 49.0]","{48.0: 3, 49.0: 12, 51.0: 1}",49.0
1,Front lunge,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Jumping jacks,Frontal,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 11.0, 8.0, 9.0, 8.0, 8.0, 9.0, 9.0]","{8.0: 3, 9.0: 12, 11.0: 1}",9.0
1,Jumping jacks,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Lateral arm raise,Frontal,"[4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0]","{3.0: 5, 4.0: 10, 6.0: 1}",4.0
1,Lateral arm raise,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Leg extension crunch,Frontal,"[-2.0, -2.0, -3.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -3.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 4, -2.0: 11}",-2.0
1,Leg extension crunch,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Reverse fly,Frontal,"[21.0, 21.0, 20.0, 20.0, 21.0, 21.0, 21.0, 21.0, 21.0, 22.0, 21.0, 20.0, 20.0, 20.0, 21.0, 21.0]","{20.0: 5, 21.0: 10, 22.0: 1}",21.0
1,Reverse fly,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Side squat,Frontal,"[1.0, 1.0, 4.0, 1.0, 3.0, 3.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","{0.0: 2, 1.0: 10, 3.0: 3, 4.0: 1}",1.0
1,Side squat,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Single leg deadlift,Frontal,"[33.0, 33.0, 33.0, 33.0, 33.0, 34.0, 34.0, 33.0, 33.0, 36.0, 33.0, 33.0, 34.0, 32.0, 33.0, 33.0]","{32.0: 1, 33.0: 11, 34.0: 3, 36.0: 1}",33.0
1,Single leg deadlift,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
1,Squat,Frontal,"[16.0, 16.0, 18.0, 17.0, 17.0, 17.0, 16.0, 16.0, 16.0, 18.0, 17.0, 16.0, 12.0, 16.0, 16.0, 16.0]","{16.0: 9, 17.0: 4, 18.0: 2, 12.0: 1}",16.0
1,Squat,Side,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","{nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1, nan: 1}",
2,Front lunge,Frontal,"[-28.0, -29.0, -28.0, -28.0, -28.0, -29.0, -29.0, -28.0, -28.0, 59.0, -29.0, -29.0, -29.0, -30.0, -28.0, -29.0]","{59.0: 1, -30.0: 1, -29.0: 7, -28.0: 7}",-28.5
2,Front lunge,Side,"[-20.0, -20.0, -21.0, -20.0, -20.0, -21.0, -20.0, -20.0, -20.0, -18.0, -21.0, -21.0, -22.0, -21.0, -20.0, -20.0]","{-22.0: 1, -21.0: 5, -20.0: 9, -18.0: 1}",-20.0
2,Jumping jacks,Frontal,"[8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0]","{8.0: 13, 9.0: 1, 10.0: 1, 7.0: 1}",8.0
2,Jumping jacks,Side,"[8.0, 8.0, 8.0, 8.0, 8.0, 9.0, 8.0, 8.0, 8.0, 10.0, 8.0, 8.0, 8.0, 7.0, 8.0, 8.0]","{8.0: 13, 9.0: 1, 10.0: 1, 7.0: 1}",8.0
2,Lateral arm raise,Frontal,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0]","{1.0: 1, -1.0: 14, -2.0: 1}",-1.0
2,Lateral arm raise,Side,"[-3.0, -3.0, -4.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -1.0, -4.0, -4.0, -3.0, -4.0, -3.0, -3.0]","{-4.0: 4, -3.0: 11, -1.0: 1}",-3.0
2,Leg extension crunch,Frontal,"[-32.0, -32.0, -32.0, -32.0, -32.0, -31.0, -32.0, -32.0, -32.0, -30.0, -32.0, -32.0, -32.0, -33.0, -32.0, -32.0]","{-32.0: 13, -31.0: 1, -30.0: 1, -33.0: 1}",-32.0
2,Leg extension crunch,Side,"[-21.0, -21.0, -21.0, -21.0, -21.0, -20.0, -21.0, 40.0, 40.0, 11.0, -22.0, -22.0, -21.0, -22.0, -21.0, -21.0]","{40.0: 2, -22.0: 3, 11.0: 1, -21.0: 9, -20.0: 1}",-21.0
2,Reverse fly,Frontal,"[-9.0, -9.0, -9.0, -9.0, -9.0, -8.0, -9.0, -9.0, -9.0, nan, -9.0, -9.0, -9.0, -10.0, -9.0, -9.0]","{-8.0: 1, nan: 1, -10.0: 1, -9.0: 13}",-9.0
2,Reverse fly,Side,"[-11.0, -12.0, -11.0, -11.0, -11.0, -11.0, -11.0, 51.0, 51.0, -11.0, -12.0, -11.0, -11.0, -12.0, -11.0, -11.0]","{51.0: 2, -12.0: 3, -11.0: 11}",-11.0
2,Side squat,Frontal,"[-2.0, -2.0, -1.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -1.0, 52.0, -4.0, -3.0, -2.0, -2.0]","{0.0: 1, 52.0: 1, -1.0: 2, -4.0: 1, -3.0: 1, -2.0: 10}",-2.0
2,Side squat,Side,"[-2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 2, -2.0: 13}",-2.0
2,Single leg deadlift,Frontal,"[-18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -18.0, -17.0, -17.0, -17.0, -18.0, -19.0, -18.0, -19.0, -18.0, -18.0]","{-19.0: 2, -18.0: 11, -17.0: 3}",-18.0
2,Single leg deadlift,Side,"[-20.0, -20.0, -20.0, -20.0, -20.0, -19.0, -20.0, -20.0, -20.0, -17.0, -20.0, -21.0, -19.0, -21.0, -20.0, -20.0]","{-21.0: 2, -20.0: 11, -19.0: 2, -17.0: 1}",-20.0
2,Squat,Frontal,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 5.0, 4.0, 3.0, 2.0, 2.0, 3.0, 3.0]","{2.0: 2, 3.0: 11, 4.0: 2, 5.0: 1}",3.0
2,Squat,Side,"[-2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, -2.0, 0.0, -2.0, -2.0, -3.0, -3.0, -2.0, -2.0]","{0.0: 1, -3.0: 2, -2.0: 13}",-2.0
3,Front lunge,Frontal,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, -1.0, 0.0, -1.0, 0.0, 0.0]","{0.0: 13, 2.0: 1, -1.0: 2}",0.0
3,Front lunge,Side,"[-4.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -2.0, -4.0, -5.0, -4.0, -5.0, -4.0, -4.0]","{-5.0: 3, -4.0: 12, -2.0: 1}",-4.0
3,Jumping jacks,Frontal,"[5.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 7.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0]","{4.0: 3, 5.0: 12, 7.0: 1}",5.0
3,Jumping jacks,Side,"[9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 9.0, 11.0, 9.0, 8.0, 8.0, 8.0, 9.0, 9.0]","{8.0: 3, 9.0: 12, 11.0: 1}",9.0
3,Lateral arm raise,Frontal,"[5.0, 5.0, 5.0, 6.0, 5.0, 6.0, 5.0, 5.0, 5.0, 7.0, 5.0, 5.0, 5.0, 4.0, 5.0, 6.0]","{4.0: 1, 5.0: 11, 6.0: 3, 7.0: 1}",5.0
3,Lateral arm raise,Side,"[5.0, 5.0, 5.0, 5.0, 5.0, 6.0, 5.0, 5.0, 5.0, 7.0, 5.0, 5.0, 5.0, 4.0, 5.0, 5.0]","{4.0: 1, 5.0: 13, 6.0: 1, 7.0: 1}",5.0
3,Leg extension crunch,Frontal,"[-23.0, -24.0, -24.0, -23.0, -23.0, -23.0, -23.0, -23.0, -23.0, -22.0, -24.0, -24.0, -24.0, -24.0, -23.0, -23.0]","{-24.0: 6, -23.0: 9, -22.0: 1}",-23.0
3,Leg extension crunch,Side,"[-24.0, -24.0, -24.0, -24.0, -24.0, -24.0, -23.0, -24.0, -24.0, -22.0, -24.0, -24.0, -23.0, -24.0, -23.0, -23.0]","{-24.0: 11, -23.0: 4, -22.0: 1}",-24.0
3,Reverse fly,Frontal,"[2.0, 9.0, 2.0, 2.0, 2.0, 3.0, 2.0, 52.0, 52.0, 56.0, 2.0, 2.0, 56.0, 1.0, 2.0, 1.0]","{1.0: 2, 2.0: 8, 3.0: 1, 9.0: 1, 52.0: 2, 56.0: 2}",2.0
3,Reverse fly,Side,"[1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 56.0, 56.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0]","{0.0: 1, 1.0: 8, 2.0: 4, 3.0: 1, 56.0: 2}",1.0
3,Side squat,Frontal,"[0.0, -60.0, 5.0, 0.0, -1.0, 0.0, -6.0, -60.0, -60.0, -57.0, 55.0, -8.0, 29.0, 5.0, 2.0, 29.0]","{0.0: 3, 2.0: 1, -60.0: 3, 5.0: 2, -57.0: 1, 55.0: 1, -8.0: 1, -6.0: 1, 29.0: 2, -1.0: 1}",0.0
3,Side squat,Side,"[-19.0, -19.0, -18.0, -19.0, -19.0, -17.0, -19.0, -19.0, -19.0, -17.0, -17.0, -19.0, -20.0, -20.0, -19.0, -19.0]","{-20.0: 2, -19.0: 10, -18.0: 1, -17.0: 3}",-19.0
3,Single leg deadlift,Frontal,"[4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 6.0, 4.0, 3.0, 4.0, 3.0, 4.0, 4.0]","{3.0: 2, 4.0: 12, 5.0: 1, 6.0: 1}",4.0
3,Single leg deadlift,Side,"[-3.0, -3.0, -3.0, -3.0, -3.0, -1.0, -2.0, -3.0, -3.0, -1.0, -3.0, -4.0, -3.0, -4.0, -3.0, -3.0]","{-4.0: 2, -3.0: 11, -1.0: 2, -2.0: 1}",-3.0
3,Squat,Frontal,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -5.0, 1.0, -7.0, -2.0, -1.0, -1.0]","{1.0: 2, -2.0: 1, -7.0: 1, -5.0: 1, -1.0: 11}",-1.0
3,Squat,Side,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","{0.0: 3, 1.0: 12, 3.0: 1}",1.0
4,Front lunge,Frontal,"[-11.0, -11.0, -11.0, -11.0, -11.0, -10.0, -11.0, -11.0, -11.0, -9.0, -11.0, -12.0, -11.0, -12.0, -11.0, -11.0]","{-12.0: 2, -11.0: 12, -10.0: 1, -9.0: 1}",-11.0
4,Front lunge,Side,"[-13.0, -13.0, -13.0, -13.0, -13.0, -12.0, -13.0, -13.0, -13.0, -11.0, -13.0, -14.0, -14.0, -14.0, -13.0, -13.0]","{-14.0: 3, -13.0: 11, -12.0: 1, -11.0: 1}",-13.0
4,Jumping jacks,Frontal,"[-1.0, -1.0, -1.0, 30.0, -1.0, 0.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0]","{0.0: 1, 1.0: 1, -1.0: 12, 30.0: 1, -2.0: 1}",-1.0
4,Jumping jacks,Side,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0]","{3.0: 3, 4.0: 12, 6.0: 1}",4.0
4,Lateral arm raise,Frontal,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0]","{1.0: 2, 2.0: 13, 4.0: 1}",2.0
4,Lateral arm raise,Side,"[0.0, 0.0, -1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, -1.0, -1.0, -1.0, -1.0, 0.0, 0.0]","{0.0: 10, 2.0: 1, -1.0: 5}",0.0
4,Leg extension crunch,Frontal,"[-44.0, -44.0, -44.0, -44.0, -44.0, -43.0, -44.0, -44.0, -44.0, -42.0, -44.0, -44.0, -44.0, -45.0, -44.0, -44.0]","{-45.0: 1, -44.0: 13, -43.0: 1, -42.0: 1}",-44.0
4,Leg extension crunch,Side,"[-23.0, -23.0, -23.0, -23.0, -22.0, -22.0, -23.0, -23.0, -23.0, -21.0, -23.0, -23.0, -23.0, -24.0, -23.0, -23.0]","{-24.0: 1, -23.0: 12, -22.0: 2, -21.0: 1}",-23.0
4,Reverse fly,Frontal,"[-3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -3.0, -2.0, -4.0, -4.0, -9.0, -4.0, -3.0, -3.0]","{-4.0: 3, -3.0: 11, -2.0: 1, -9.0: 1}",-3.0
4,Reverse fly,Side,"[-1.0, -1.0, -1.0, -1.0, -1.0, 0.0, -1.0, 1.0, 1.0, 2.0, -1.0, -2.0, -1.0, -2.0, -1.0, -1.0]","{0.0: 1, 1.0: 2, 2.0: 1, -2.0: 2, -1.0: 10}",-1.0
4,Side squat,Frontal,"[-3.0, -3.0, -2.0, -2.0, -2.0, -1.0, -3.0, -3.0, -3.0, -1.0, -4.0, -4.0, -2.0, -4.0, -3.0, -3.0]","{-4.0: 3, -3.0: 7, -2.0: 4, -1.0: 2}",-3.0
4,Side squat,Side,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 1.0, -1.0, -1.0, 0.0, 0.0]","{0.0: 9, 1.0: 4, 2.0: 1, -1.0: 2}",0.0
4,Single leg deadlift,Frontal,"[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -3.0, -5.0, -6.0, -3.0, -6.0, -5.0, -5.0]","{-6.0: 2, -5.0: 12, -3.0: 2}",-5.0
4,Single leg deadlift,Side,"[-1.0, -1.0, -2.0, -2.0, -2.0, -1.0, -1.0, -2.0, -2.0, 1.0, -2.0, -2.0, -2.0, -3.0, -1.0, -1.0]","{1.0: 1, -3.0: 1, -1.0: 6, -2.0: 8}",-2.0
4,Squat,Frontal,"[-4.0, -4.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -4.0, -2.0, -7.0, -7.0, -4.0, -5.0, -4.0, -4.0]","{-7.0: 2, -5.0: 2, -4.0: 11, -2.0: 1}",-4.0
4,Squat,Side,"[-6.0, -6.0, -6.0, -6.0, -7.0, -6.0, -6.0, -7.0, -7.0, -4.0, -6.0, -7.0, -7.0, -7.0, -6.0, -7.0]","{-7.0: 7, -6.0: 8, -4.0: 1}",-6.0
6,Front lunge,Frontal,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0]","{3.0: 3, 4.0: 12, 6.0: 1}",4.0
6,Front lunge,Side,"[7.0, 7.0, 7.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 9.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0]","{9.0: 1, 6.0: 5, 7.0: 10}",7.0
6,Jumping jacks,Frontal,"[3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]","{2.0: 5, 3.0: 10, 5.0: 1}",3.0
6,Jumping jacks,Side,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -32.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0]","{-32.0: 1, -1.0: 14, -2.0: 1}",-1.0
6,Lateral arm raise,Frontal,"[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 6.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0]","{3.0: 4, 4.0: 11, 6.0: 1}",4.0
6,Lateral arm raise,Side,"[3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0]","{2.0: 4, 3.0: 11, 5.0: 1}",3.0
